Name;Position
*Kendall, Henry George; Master
Steede, Mansfield Richard; Chief Officer
*Jones, Edward John; First Officer
Williams, Roger; Second Officer
*File, Osmond; Extra Second Officer
Moore, Charles Alwyn; Third Officer
Tunstall, Bertram; Fourth Officer
*Ferguson Ronald; Telegraphist
*Bamford, Edward; Telegraphist
Peterson, William Victor; Carpenter
Taylor, Walter; Carpenter’s mate
*Sprague, Thomas William; Boatswain
*Radley Alexander Christie; Boatswain’s mate
Thompson, Gerard Joseph; Plumber
*Saunders, Robert; Master-at-arms
Preston, John Edward; Inspector
*Galway, James Francis; Quartermaster
Gutcher, James Duncan; Quartermaster
*Murphy, John; Quartermaster
Sharples, William Henry; Quartermaster
Williams, William; Lamp trimmer
*Bruin, Thomas; AB
*Carroll, John; AB
*Clarke, J.; AB
Corrigan, Thomas; AB
Crayton, Robert; AB
*Dennehy, Edward; AB
*Dennis, Thomas; AB
*Downey, Thomas *Shawn; AB
*Evans, Albert L.; AB
*Evans, John; AB
*Fitzpatrick, John; AB
Flagel, J.; AB
Harford, N.; AB
*Hudson, John *Henry; Couch AB
*Jeffries, Joseph F.; AB
*Lang, Benjamin; AB
Leonard, Thomas; AB
Lyons, William Henry; AB
*Maguire, John; AB
*McCoy, John William; AB
*McDougal, Duncan; AB
*McEwan, John; AB
*Moran, James; AB
O’Sullivan, James; AB
Riley, John; AB
*Simms, John; AB
Bent, James; OS
*Brown, William; OS
*Disley, John; OS
*Fawcett, William *Wright; OS
*Fitzgerald, H.; OS
*Gratwick, Thomas William; OS
*Jones, Daniel Henry; OS
Learmouth, George Seaton; OS
Leonard, Mark; OS
*Price, John Henry; OS
Bell, Joseph Robert; Deck Boy
Gallagher, William; Deck Boy
*Sampson, William; Chief Engineer
Jones, John Mackenzie; Senior Second Engineer
*Hampton, William Joseph; Intermediate Second Engineer
*Brennan, Robert Henry; Junior Second Engineer
*Liddell, Robert Roberts; Senior Third Engineer
*O’Donovan, George Stephen; Intermediate Third Engineer
*McOnie, George Randolph; Junior Third Engineer
Gillespie, Robert Walls; Senior Fourth Engineer
*McDonald, Charles *Keven; Intermediate Fourth Engineer
McEwan, James; Junior Fourth Engineer
Williamson, Percy Robert; Fifth Engineer
*Smith, Alfred E.; Sixth Engineer
/White, John Bell; Seventh Engineer
*Johnston, John *Alexander;
Beddows; Eighth Engineer
Caley, Frederick John; Ninth Engineer
*Swan, John Henry; Tenth Engineer
*Grant, John; Chief Electrician
*Duckworth, William *Barrett D.; Electrician
*Connor, James; Donkeyman
*Davidson, George; Storekeeper
*Connor, John; Greaser
*D’Arcy, Patrick; Greaser
*Duggan, Patrick; Greaser
Healey, James; Greaser
*Holden, Samuel; Greaser
*Maher, Patrick; Greaser
*McAdam, William; Greaser
*McAleavey, Michael; Greaser
*Megson, John; Greaser
*Nelson, Cornelius; Greaser
*O’Donnell, Daniel; Greaser
*Reardon, Daniel; Greaser
Ross, William; Greaser
*Sheridan, Robert; Greaser
Starr, Edmund; Greaser
*Stephens, John; Greaser
Summers, John; Greaser
*Williams, William; Greaser
*Malone, Peter *James; Leading Fireman
*Malone, Bernard; Leading Fireman
McGuinness, Michael; Leading Fireman
*McGuinness, Thomas; Leading Fireman
*Whitty, John Leading; Fireman
*Bailey, George; Fireman
Barber, John; Fireman
Boyd, Edward; Fireman
*Clarke, William; Fireman
Crowther, John George; Fireman
*Davies, Peter; Fireman
*Davis, John; Fireman
